expertise_more;partnership;type;Node;COUNTRY;about;target;ID
Sociology;NA;ERAIFT;Academic;Congo DRC;Research;"TARGET 1: Plan and Manage all Areas To Reduce Biodiversity Loss 	;TARGET 4: Halt Species Extinction, Protect Genetic Diversity, and Manage Human-Wildlife Conflicts;TARGET 5: Ensure Sustainable, Safe and Legal Harvesting and Trade of Wild Species;TARGET 8: Minimize the Impacts of Climate Change on Biodiversity and Build Resilience;TARGET 9: Manage Wild Species Sustainably To Benefit People;TARGET 10: Enhance Biodiversity and Sustainability in Agriculture, Aquaculture, Fisheries, and Forestry;TARGET 21: Ensure That Knowledge Is Available and Accessible To Guide Biodiversity Action;";56
science-policy, conservation conflict, social-ecological systems;NA;Sokoine University of Agriculture;Academic;Tanzania;Research;"TARGET 1: Plan and Manage all Areas To Reduce Biodiversity Loss 	;TARGET 5: Ensure Sustainable, Safe and Legal Harvesting and Trade of Wild Species;TARGET 9: Manage Wild Species Sustainably To Benefit People;TARGET 10: Enhance Biodiversity and Sustainability in Agriculture, Aquaculture, Fisheries, and Forestry;TARGET 20: Strengthen Capacity-Building, Technology Transfer, and Scientific and Technical Cooperation for Biodiversity;TARGET 22: Ensure Participation in Decision-Making and Access to Justice and Information Related to Biodiversity for all;";66
Species conservation and policy;NA;South African National Biodiversity Institute;SANBI;South Africa;Research;"TARGET 4: Halt Species Extinction, Protect Genetic Diversity, and Manage Human-Wildlife Conflicts;";126
Social Sciences, Human wildlife co-existence;NA;Tanzania Wildlife Research Institute (TAWIRI);Academic;Tanzania;Research;"TARGET 1: Plan and Manage all Areas To Reduce Biodiversity Loss 	;TARGET 4: Halt Species Extinction, Protect Genetic Diversity, and Manage Human-Wildlife Conflicts;TARGET 9: Manage Wild Species Sustainably To Benefit People;TARGET 11: Restore, Maintain and Enhance Nature’s Contributions to People;TARGET 20: Strengthen Capacity-Building, Technology Transfer, and Scientific and Technical Cooperation for Biodiversity;";161
Natural Sciences;Ecology, Zoology and applied biodiversity and conservation science with experience in conservation, particularly in Africa strategy, policy and practice;The Government of Mali (Direction General des Eaux et Forets of the Ministry of the Environment);Government;Mali;On-the-ground conservation;"TARGET 1: Plan and Manage all Areas To Reduce Biodiversity Loss 	;TARGET 2: Restore 30% of all Degraded Ecosystems;TARGET 3: Conserve 30% of Land, Waters and Seas;TARGET 4: Halt Species Extinction, Protect Genetic Diversity, and Manage Human-Wildlife Conflicts;TARGET 8: Minimize the Impacts of Climate Change on Biodiversity and Build Resilience;TARGET 9: Manage Wild Species Sustainably To Benefit People;TARGET 10: Enhance Biodiversity and Sustainability in Agriculture, Aquaculture, Fisheries, and Forestry;TARGET 11: Restore, Maintain and Enhance Nature’s Contributions to People;TARGET 14: Integrate Biodiversity in Decision-Making at Every Level;TARGET 21: Ensure That Knowledge Is Available and Accessible To Guide Biodiversity Action;TARGET 22: Ensure Participation in Decision-Making and Access to Justice and Information Related to Biodiversity for all;TARGET 23: Ensure Gender Equality and a Gender-Responsive Approach for Biodiversity Action;TARGET 20: Strengthen Capacity-Building, Technology Transfer, and Scientific and Technical Cooperation for Biodiversity;";201
Natural Sciences;Conservation Sciences, Biodiversity Sciences, Socio-ecological systems, Habitat fragmentation, Remote Sensing;National Museums Kenya;Academic;Kenya;"Research;";"TARGET 1: Plan and Manage all Areas To Reduce Biodiversity Loss 	;TARGET 2: Restore 30% of all Degraded Ecosystems;TARGET 3: Conserve 30% of Land, Waters and Seas;TARGET 4: Halt Species Extinction, Protect Genetic Diversity, and Manage Human-Wildlife Conflicts;TARGET 5: Ensure Sustainable, Safe and Legal Harvesting and Trade of Wild Species;TARGET 6: Reduce the Introduction of Invasive Alien Species by 50% and Minimize Their Impact;TARGET 8: Minimize the Impacts of Climate Change on Biodiversity and Build Resilience;TARGET 9: Manage Wild Species Sustainably To Benefit People;TARGET 10: Enhance Biodiversity and Sustainability in Agriculture, Aquaculture, Fisheries, and Forestry;TARGET 11: Restore, Maintain and Enhance Nature’s Contributions to People;TARGET 13: Increase the Sharing of Benefits From Genetic Resources, Digital Sequence Information and Traditional Knowledge;TARGET 14: Integrate Biodiversity in Decision-Making at Every Level;TARGET 21: Ensure That Knowledge Is Available and Accessible To Guide Biodiversity Action;TARGET 20: Strengthen Capacity-Building, Technology Transfer, and Scientific and Technical Cooperation for Biodiversity;TARGET 22: Ensure Participation in Decision-Making and Access to Justice and Information Related to Biodiversity for all;TARGET 23: Ensure Gender Equality and a Gender-Responsive Approach for Biodiversity Action;";217
Human-wildlife coexistence, great ape conservation ;NA;Institute for Biodiversity and Protected Areas (IBAP);Biodiversity_Institution;Guinea-Bissau;On-the-ground conservation;"TARGET 1: Plan and Manage all Areas To Reduce Biodiversity Loss 	;TARGET 9: Manage Wild Species Sustainably To Benefit People;TARGET 11: Restore, Maintain and Enhance Nature’s Contributions to People;TARGET 14: Integrate Biodiversity in Decision-Making at Every Level;TARGET 21: Ensure That Knowledge Is Available and Accessible To Guide Biodiversity Action;TARGET 22: Ensure Participation in Decision-Making and Access to Justice and Information Related to Biodiversity for all;TARGET 23: Ensure Gender Equality and a Gender-Responsive Approach for Biodiversity Action;";36
forest biodiversity;NA;CIFOR-ICRAF;Academic;Kenya;"Research;";"TARGET 1: Plan and Manage all Areas To Reduce Biodiversity Loss 	;TARGET 2: Restore 30% of all Degraded Ecosystems;TARGET 3: Conserve 30% of Land, Waters and Seas;TARGET 4: Halt Species Extinction, Protect Genetic Diversity, and Manage Human-Wildlife Conflicts;TARGET 8: Minimize the Impacts of Climate Change on Biodiversity and Build Resilience;TARGET 10: Enhance Biodiversity and Sustainability in Agriculture, Aquaculture, Fisheries, and Forestry;TARGET 11: Restore, Maintain and Enhance Nature’s Contributions to People;TARGET 14: Integrate Biodiversity in Decision-Making at Every Level;TARGET 21: Ensure That Knowledge Is Available and Accessible To Guide Biodiversity Action;";103
ecology, palaeoecology, biogeography;NA;Kirstenbosch Research Centre, South African National Biodiversity Institute (SANBI);Academic;South Africa;Research;"TARGET 8: Minimize the Impacts of Climate Change on Biodiversity and Build Resilience;";86
Conservation Science and Policy;NA;South African National Biodiversity Institute;SANBI;South Africa;"Research;";"TARGET 4: Halt Species Extinction, Protect Genetic Diversity, and Manage Human-Wildlife Conflicts;";77
